prompts,answer
Who has written several successful novels about DS Roy Grace of the Brighton force?,Peter James
The famous French wine Chablis is made mainly from which grape variety?,Chardonnay
"The title First Level Nurse replaced Registered General Nurse, which replaced what?",State Registered Nurse
Who currently coaches England’s women team?,Mark Sampson
Of what was Urania the Muse?,Astronomy
Which Scandinavian retailer air-brushed women from the Saudi edition of its catalogue?,IKEA
Le Petit Prince (The Little Prince)?,Antoine de Saint-Exupéry
A sarcophagus traditionally contains a?,Corpse
What is converted into alcohol during brewing?,SUGAR
Which mythical figure carries a scythe?,The Grim Reaper
The rumba was originally danced where?,Cuba
They only deliver through WheelDeliver.com,
"Indifferent food, atrocious service.",
Which name of something used by avid readers is the Netscape Navigator name for Favorites?,Bookmarks
Name the alleged I.R.A. bomber who escaped from Brixton prison in December,GERARD TUITE
how many died in hiroshima and nagasaki,"Within the first two to four months of the bombings, the acute effects killed 90,000–166,000 people in Hiroshima and 60,000–80,000 in Nagasaki, with roughly half of the deaths in each city occurring on the first day."
what two empires fought to control afghanistan,"In the late 19th century, Afghanistan became a buffer state in the "" Great Game "" between the British and Russian empires."
where is university of nelson mandela metropolitan located,Nelson Mandela Metropolitan University (NMMU) is a South African tertiary education institution with its main administration in the coastal city of Port Elizabeth .
Fish move best through water when their fins are?,Large [Collect]
adding a direct flame to container of acid causes a,vapor expulsion
Many plant species can only reproduce if the environment includes,bees
A ficus can help respiration because it:,releases oxygen
"when fuel efficiency increases, gasoline use in cars will",decrease
Aerial maps represent what feature using dark green?,trees packed close together
The earth receives uneven amounts of UV rays due to,it's axis
A tugboat maneuvers a ship  to help,increase their speed
Two birds in completely different houses can discuss something by,vocalizing
It's hardest to perceive in a flashlight's beam,a dark spider
Seasonal water fall in Columbia causes whole towns to,slide away
With wind gusts and green skys you should pack,an umbrella
Which artist created the Katzenjammer Kids?,Rudolph Dirks
"Which band has featured Gregg Rolie, David Brown and Autlan de Bavarro?",Santana
What distance is the Breeders' Cup Sprint?,Six furlongs
Which county did WG grace play cricket for ?,Gloucester
Which influential German philosopher wrote 'Being and Time'?,Martin Heidegger
What gets whiter the dirtier it gets?,A chalkboard
How many compartments does a cow’s stomach have?,Four
Which three Quaker families dominated early British manufacturing?,"Cadbury, Rowntree and Fry"
What do ‘scandent’ plants do?,Climb
Under which Prime Minister were life peerages instituted?,Harold Macmillan
A poker player throwing in his cards says what?,Fold
Boris the ………….. (The Who)?,Spider
Which common scientific term has the meaning indivisible?,Atom
Which American newspaper commissioned Stanley to find Livingstone?,NEW YORK HERALD
Which village do Rupert Bear and his companions inhabit?,Nutwood
The term geocentric places what as central?,Earth
For which activity was Dame Elizabeth Frink honoured?,Sculpture
The common choko is what colour when ripe?,Green
Flowers of papilionaceous plants resemble what?,Butterflies
What force causes a compass in Illinois to point towards Wisconsin?,natural magnetism
What primarily drives the hydrologic cycle to produce clouds?,energy from a central star
"1313 Webfoot Walk, Duckburg, Calisota",Donald Duck
With which athletics field event is Jan Zelezny associated?,Javelin
Which gland produces the hormones that control the body’s metabolism?,Thyroid
Tom Rowlands and Ed Simons make up what duo?,The Chemical Brothers
Which ancient religion is followed by Parsees or Parsi?,Zoroastrianism
In Hi De Hi who was Peggy’s never seen supervisor?,Miss Cathcart
Which fictional pair vie for social supremacy in Tilling?,Mapp & Lucia
Generally what metalwork process extracts a metal from its ore?,Smelting
English novelist William Godwin fathered which novelist daughter?,Mary Shelley
Good Food....The Part-Time Hostess Is Awesome....,
Favorite stop! Great Beer and Food!! Tiger Fan Friendly!!!,
"What does Nature require five of, Custom require seven of, Laziness take nine of and Wickedness take eleven of?",Hours of sleep
